N,rho,selection,expt,AB_bias,AB_se,SYS_bias,SYS_se,AB_reps,SYS_reps,total_reps
500,0.25,A,no_endogenous,-0.01521,0.10746,0.00456,0.06397,500,500,500
500,0.25,B,no_endogenous,-0.02776,0.12292,0.0051,0.07224,500,500,500
500,0.5,A,no_endogenous,-0.05665,0.18172,0.00412,0.07522,500,500,500
500,0.5,B,no_endogenous,-0.08582,0.20794,0.00509,0.08455,500,500,500
500,0.75,A,no_endogenous,-0.35157,0.41107,0.00788,0.09006,500,500,500
500,0.75,B,no_endogenous,-0.39483,0.42012,0.00787,0.10177,500,500,500
5000,0.25,A,no_endogenous,-0.0015,0.03362,0.00088,0.01986,500,500,500
5000,0.25,B,no_endogenous,-0.00019,0.03903,0.00148,0.02227,500,500,500
5000,0.5,A,no_endogenous,-0.00725,0.05715,0.00129,0.02335,500,500,500
5000,0.5,B,no_endogenous,-0.00435,0.06737,0.00171,0.02611,500,500,500
5000,0.75,A,no_endogenous,-0.04886,0.1399,0.00161,0.02725,500,500,500
5000,0.75,B,no_endogenous,-0.04801,0.16487,0.00179,0.03037,500,500,500
500,0.25,A,baseline,-0.01461,0.09965,0.00485,0.06216,500,500,500
500,0.25,B,baseline,-0.02834,0.11162,0.00332,0.07045,500,500,500
500,0.5,A,baseline,-0.0461,0.15953,0.00295,0.07322,500,500,500
500,0.5,B,baseline,-0.07121,0.17748,0.00183,0.08283,500,500,500
500,0.75,A,baseline,-0.2039,0.30337,0.00073,0.09003,500,500,500
500,0.75,B,baseline,-0.23274,0.3182,0.00148,0.10132,500,500,500
5000,0.25,A,baseline,-0.00134,0.03108,0.0007,0.01933,500,500,500
5000,0.25,B,baseline,0.00117,0.03518,0.00179,0.02162,500,500,500
5000,0.5,A,baseline,-0.00597,0.05001,-0.00061,0.02285,500,500,500
5000,0.5,B,baseline,-0.0011,0.05653,0.00014,0.02548,500,500,500
5000,0.75,A,baseline,-0.02535,0.09638,-0.00614,0.02782,500,500,500
5000,0.75,B,baseline,-0.01544,0.10414,-0.00579,0.03095,500,500,500
500,0.25,A,short_T,-0.01362,0.0961,0.00347,0.05971,500,500,500
500,0.25,B,short_T,-0.02271,0.1068,0.00335,0.06638,500,500,500
500,0.5,A,short_T,-0.04271,0.15075,-0.00021,0.07066,500,500,500
500,0.5,B,short_T,-0.05741,0.16522,0.00057,0.07795,500,500,500
