N,rho,selection,expt,AB_bias,AB_se,SYS_bias,SYS_se,obs
500,0.25,A,baseline,0.20444175029902384,10.632671645238325,0.025178098146667927,0.7397049709143716,393
500,0.25,B,baseline,-0.4790186821527077,1.3590304907585113,0.013012031234375393,1.6579034550038856,399
500,0.5,A,baseline,-0.631610477081526,1.198248106230399,0.018767112636194145,0.708321186184381,377
500,0.5,B,baseline,-0.5360513489806183,0.875009326314201,-0.027032185624194835,1.8686630786845415,401
500,0.75,A,baseline,-0.7053058803642503,1.2420418248862175,-0.2437443752683762,2.5955296941708244,385
500,0.75,B,baseline,-0.6469758256334989,0.968120127650403,-0.006714799680278854,0.6921090124152595,387
5000,0.25,A,baseline,-0.3800036969434308,0.20372960734899354,0.058373497185661025,0.17441669307031815,500
5000,0.25,B,baseline,-0.3908679727836337,0.22306077767057333,0.059880256755901806,0.16582275514648065,500
5000,0.5,A,baseline,-0.4939801142487841,0.23226759336253067,0.06441281771438113,0.15316739199880433,500
5000,0.5,B,baseline,-0.4860011026282892,0.23337173929488536,0.06787872768497431,0.15791052631761052,500
5000,0.75,A,baseline,-0.6093658917585799,0.26432095687123486,0.05343686262416999,0.1249403053359806,500
5000,0.75,B,baseline,-0.6235126069673481,0.25563132675438843,0.052578482480315415,0.11538871123456984,500
500,0.25,A,short_T,,,,,0
500,0.25,B,short_T,,,,,0
500,0.5,A,short_T,,,,,0
500,0.5,B,short_T,,,,,0
500,0.75,A,short_T,,,,,0
500,0.75,B,short_T,,,,,0
5000,0.25,A,short_T,,,,,0
5000,0.25,B,short_T,,,,,0
5000,0.5,A,short_T,,,,,0
5000,0.5,B,short_T,,,,,0
5000,0.75,A,short_T,,,,,0
5000,0.75,B,short_T,,,,,0
500,0.25,A,more_selection,-0.43354733334852413,0.2612323836658024,0.13799377078101588,0.20158974045670355,497
500,0.25,B,more_selection,-0.4353497969636556,0.27012447967291636,0.1326256259572587,0.19956667960167326,493
500,0.5,A,more_selection,-0.5012258618235099,0.26671889392476444,0.10456755077576926,0.16376439823259456,490
500,0.5,B,more_selection,-0.47028749691238275,0.2680475306841369,0.11177634070976017,0.18761177578854019,493
500,0.75,A,more_selection,-0.5797074820380366,0.2747875598229678,0.06644810495870225,0.16097476922568935,494
500,0.75,B,more_selection,-0.5938400647681386,0.2931179375173324,0.06706374759771615,0.15360053518444455,493
5000,0.25,A,more_selection,-0.18698903425701938,0.15582527542640254,0.02151363342744899,0.12322108932887411,500
5000,0.25,B,more_selection,-0.19432676951523087,0.15035102156543118,0.026180926661505795,0.11295445849324838,500
5000,0.5,A,more_selection,-0.2867267673987248,0.18603701811040968,0.03212931824671303,0.11026081578081585,500
5000,0.5,B,more_selection,-0.3004773002831213,0.18274741845009085,0.029399393565548933,0.11284575270262591,500
5000,0.75,A,more_selection,-0.46678720900491005,0.21596406640283153,0.028660841594246117,0.0974526359957526,500
5000,0.75,B,more_selection,-0.46924989047619825,0.2200013938234535,0.0392298029303604,0.09889998424479307,500
500,0.25,A,high_alpha_ratio,-0.33719758845035597,1.7761414843914454,-0.06167397701152543,4.227991076031239,388
500,0.25,B,high_alpha_ratio,-0.4301758077871298,1.9481695351882256,0.2575353839837053,0.5516815566629361,397
500,0.5,A,high_alpha_ratio,-0.880790747428839,4.754457970460173,0.09809263455340814,1.2023342692699388,403
500,0.5,B,high_alpha_ratio,-2.677583159609543,41.55886116926987,0.052326304961742044,0.8617369170730248,384
500,0.75,A,high_alpha_ratio,-0.7212596876972878,1.2566265010061994,-0.0019118114125847888,1.2356392226215576,381
500,0.75,B,high_alpha_ratio,-0.554963139759979,1.5940560048194732,0.04975957070390412,1.7853221745546834,389
5000,0.25,A,high_alpha_ratio,-0.46358468194962077,0.2186873792209096,0.20891300268687268,0.14769088791082427,499
5000,0.25,B,high_alpha_ratio,-0.44470921384131634,0.22690709298343475,0.21925963701711473,0.14280783261396524,500
5000,0.5,A,high_alpha_ratio,-0.5432831394701803,0.25151051474603947,0.16645460389765337,0.1271040564488884,500
5000,0.5,B,high_alpha_ratio,-0.5566912039921189,0.23887537145749962,0.1718046418937614,0.11347427967391002,499
5000,0.75,A,high_alpha_ratio,-0.664907956911438,0.24514240848758095,0.10264504698348383,0.09593679974043846,500
5000,0.75,B,high_alpha_ratio,-0.6527669947993997,0.2624017876396611,0.09545600043253642,0.09816790900553612,500
500,0.25,A,low_corr,-0.5016004503503578,2.6863107861304796,0.13972106451845775,0.5492184251667224,393
500,0.25,B,low_corr,-0.4912966344091281,1.3322698365120662,0.05663609504491113,0.8925420192842669,397
500,0.5,A,low_corr,-0.6023308835487476,1.1630201155709683,0.07437426658100872,0.85396671844385,394
500,0.5,B,low_corr,-0.6719207291591025,1.0679588917771952,-0.014511520467135844,0.8700219806891226,387
500,0.75,A,low_corr,-0.6166072301940737,1.835304888378595,-0.05967694599363764,1.281018895951932,378
500,0.75,B,low_corr,-1.9945144915889903,21.597763790433934,-0.10349695485708132,1.2234085837080997,379
5000,0.25,A,low_corr,-0.39565461890941456,0.21615758842680938,0.06917261204301944,0.1621328907279446,500
5000,0.25,B,low_corr,-0.38590437003565636,0.22037409619065576,0.05441866434062508,0.17077350514308315,500
5000,0.5,A,low_corr,-0.5063018893752043,0.24869588431039294,0.06717934808270992,0.15793514367060107,499
5000,0.5,B,low_corr,-0.48488435824275644,0.23391655057383046,0.07251892017234406,0.1496537492055353,500
5000,0.75,A,low_corr,-0.60717998459674,0.2584710117325717,0.054772099549999544,0.12794226669693423,500
5000,0.75,B,low_corr,-0.6052119385899827,0.2537007368806597,0.059941184804480414,0.11774581898151987,500
500,0.25,A,nonstationary,-0.381292917445133,3.147751874005246,-0.972702301181632,11.610319664011145,318
500,0.25,B,nonstationary,1.2848511811655758,30.323638777578374,-0.1791894366679303,4.709420185623415,311
500,0.5,A,nonstationary,-0.795750395652729,3.5661268843271503,-0.30818558303283794,4.082987923030613,307
500,0.5,B,nonstationary,-0.04995360708676906,6.180946886338558,-0.8561107953169491,10.651138515908789,316
500,0.75,A,nonstationary,-1.5157616589442267,8.54466838958131,-0.40211334535045756,3.6503619385773542,301
500,0.75,B,nonstationary,3.8045756470861503,69.70746112587523,0.09530959944597504,6.936079103560842,312
5000,0.25,A,nonstationary,-0.44765846160466727,0.266210871399643,0.010489557430572432,0.19433893123404064,498
5000,0.25,B,nonstationary,-0.44925149425680816,0.25660114934765477,0.0005316345085554407,0.20856279824093416,496
5000,0.5,A,nonstationary,-0.5333191051766696,0.28261034465113627,0.015296670884784034,0.1908774512091075,499
5000,0.5,B,nonstationary,-0.5247730578474945,0.26519074583522473,0.00887418771762783,0.1903189710335539,498
5000,0.75,A,nonstationary,-0.6545108120800222,0.30650090070396796,0.015415621543635398,0.16775070524792654,493
5000,0.75,B,nonstationary,-0.6129551064301659,0.31035227998091514,0.03348165700693924,0.16902090587164004,498
