N,rho,selection,expt,AB_bias,AB_se,SYS_bias,SYS_se,AB_reps,SYS_reps,total_reps
500,0.25,A,no_endogenous,-0.03691,0.15147,-0.00663,0.08375,100,100,100
500,0.25,B,no_endogenous,-0.03886,0.20207,0.02388,0.10837,100,100,100
500,0.5,A,no_endogenous,-0.08461,0.25499,-0.00454,0.1025,100,100,100
500,0.5,B,no_endogenous,-0.26581,0.3123,-0.00279,0.12616,100,100,100
500,0.75,A,no_endogenous,-0.5174,0.46876,-0.01627,0.12524,100,100,100
500,0.75,B,no_endogenous,-0.61358,0.50883,-0.00366,0.15492,100,100,100
5000,0.25,A,no_endogenous,-0.00061,0.04679,0.00156,0.02606,100,100,100
5000,0.25,B,no_endogenous,0.00284,0.06149,0.00621,0.03272,100,100,100
5000,0.5,A,no_endogenous,-0.01923,0.0804,0.00041,0.03065,100,100,100
5000,0.5,B,no_endogenous,-0.02429,0.10655,-0.00525,0.03901,100,100,100
5000,0.75,A,no_endogenous,-0.0933,0.19266,-0.00308,0.03575,100,100,100
5000,0.75,B,no_endogenous,-0.12239,0.26316,0.00238,0.04503,100,100,100
500,0.25,A,baseline,-0.01664,0.13316,0.01679,0.081,100,100,100
500,0.25,B,baseline,-0.04443,0.15958,0.01872,0.09937,100,100,100
500,0.5,A,baseline,-0.07086,0.20451,0.00443,0.0957,100,100,100
500,0.5,B,baseline,-0.15999,0.25231,0.02136,0.11852,100,100,100
500,0.75,A,baseline,-0.30929,0.35818,0.00367,0.11604,100,100,100
500,0.75,B,baseline,-0.31445,0.38128,0.02083,0.13208,100,100,100
5000,0.25,A,baseline,-0.00428,0.0406,-0.00413,0.02519,100,100,100
5000,0.25,B,baseline,-0.00606,0.05067,-0.00333,0.03156,100,100,100
5000,0.5,A,baseline,0.00062,0.06504,0.00051,0.02962,100,100,100
5000,0.5,B,baseline,-0.01596,0.08077,-3e-05,0.03738,100,100,100
5000,0.75,A,baseline,-0.01008,0.11866,-0.00158,0.03559,100,100,100
5000,0.75,B,baseline,-0.04042,0.13348,-0.00563,0.0452,100,100,100
500,0.25,A,short_T,,,,,0,0,100
500,0.25,B,short_T,,,,,0,0,100
500,0.5,A,short_T,,,,,0,0,100
500,0.5,B,short_T,,,,,0,0,100
500,0.75,A,short_T,,,,,0,0,100
500,0.75,B,short_T,,,,,0,0,100
5000,0.25,A,short_T,,,,,0,0,100
5000,0.25,B,short_T,,,,,0,0,100
5000,0.5,A,short_T,,,,,0,0,100
5000,0.5,B,short_T,,,,,0,0,100
5000,0.75,A,short_T,,,,,0,0,100
5000,0.75,B,short_T,,,,,0,0,100
500,0.25,A,more_selection,-0.03592,0.15223,0.0062,0.09777,100,100,100
500,0.25,B,more_selection,-0.07049,0.19066,-0.00317,0.12762,100,100,100
500,0.5,A,more_selection,-0.0767,0.24682,0.01631,0.11019,100,100,100
500,0.5,B,more_selection,-0.13494,0.28952,0.03469,0.14163,100,100,100
500,0.75,A,more_selection,-0.36872,0.40961,0.00637,0.13995,100,100,100
500,0.75,B,more_selection,-0.38899,0.43047,0.04017,0.15896,100,100,100
5000,0.25,A,more_selection,0.00213,0.04836,0.00496,0.02965,100,100,100
5000,0.25,B,more_selection,-0.01309,0.06108,0.00047,0.03893,100,100,100
5000,0.5,A,more_selection,-0.0222,0.07623,-0.00639,0.0353,100,100,100
5000,0.5,B,more_selection,-0.02848,0.09653,-0.00595,0.04568,100,100,100
5000,0.75,A,more_selection,-0.04391,0.12742,-0.01214,0.04302,100,100,100
5000,0.75,B,more_selection,-0.05808,0.15844,-0.00979,0.05653,100,100,100
500,0.25,A,high_alpha_ratio,-0.04526,0.14848,0.01749,0.09942,100,100,100
500,0.25,B,high_alpha_ratio,-0.05972,0.19395,0.0325,0.1305,100,100,100
500,0.5,A,high_alpha_ratio,-0.12869,0.24723,0.049,0.12154,100,100,100
500,0.5,B,high_alpha_ratio,-0.1959,0.29652,0.04509,0.15276,100,100,100
500,0.75,A,high_alpha_ratio,-0.31462,0.3998,0.06953,0.13891,100,100,100
500,0.75,B,high_alpha_ratio,-0.46892,0.44367,0.10642,0.13259,100,100,100
5000,0.25,A,high_alpha_ratio,0.01025,0.04863,0.00687,0.03065,100,100,100
5000,0.25,B,high_alpha_ratio,-0.00178,0.06319,0.00434,0.04002,100,100,100
5000,0.5,A,high_alpha_ratio,-0.01461,0.08071,2e-05,0.03935,100,100,100
5000,0.5,B,high_alpha_ratio,-0.02987,0.10056,-0.00549,0.05057,100,100,100
5000,0.75,A,high_alpha_ratio,-0.04845,0.14942,-0.00475,0.05185,100,100,100
5000,0.75,B,high_alpha_ratio,-0.08563,0.17929,-0.0123,0.06636,100,100,100
500,0.25,A,low_corr,-0.05576,0.14083,0.00449,0.08415,100,100,100
500,0.25,B,low_corr,-0.04453,0.18061,0.00931,0.10675,100,100,100
500,0.5,A,low_corr,-0.05915,0.23629,0.01328,0.09717,100,100,100
500,0.5,B,low_corr,-0.15787,0.28666,0.007,0.12236,100,100,100
500,0.75,A,low_corr,-0.3039,0.42486,0.00905,0.11732,100,100,100
500,0.75,B,low_corr,-0.3872,0.41745,0.02732,0.13264,100,100,100
5000,0.25,A,low_corr,-0.00586,0.04406,0.00081,0.02567,100,100,100
5000,0.25,B,low_corr,-0.01366,0.05646,-0.00782,0.0326,100,100,100
5000,0.5,A,low_corr,-0.0078,0.07295,-0.00238,0.03015,100,100,100
5000,0.5,B,low_corr,-0.02062,0.09225,-0.00793,0.03824,100,100,100
5000,0.75,A,low_corr,-0.0567,0.14775,-0.00147,0.03544,100,100,100
5000,0.75,B,low_corr,-0.05235,0.17717,-0.00099,0.04553,100,100,100
500,0.25,A,nonstationary,-0.02726,0.11867,0.00317,0.08149,100,100,100
500,0.25,B,nonstationary,-0.03103,0.15027,-3e-05,0.10408,100,100,100
500,0.5,A,nonstationary,-0.0564,0.17172,-0.01177,0.09406,100,100,100
500,0.5,B,nonstationary,-0.06895,0.21919,0.00933,0.11742,100,100,100
500,0.75,A,nonstationary,-0.15841,0.30217,0.0065,0.10286,100,100,100
500,0.75,B,nonstationary,-0.24343,0.32801,-0.0005,0.13128,100,100,100
5000,0.25,A,nonstationary,-0.00089,0.0373,0.00154,0.02555,100,100,100
5000,0.25,B,nonstationary,0.00013,0.04606,0.00509,0.03179,100,100,100
5000,0.5,A,nonstationary,-0.00646,0.05539,-0.00017,0.02946,100,100,100
5000,0.5,B,nonstationary,-0.0114,0.0674,-0.00415,0.03717,100,100,100
5000,0.75,A,nonstationary,-0.01914,0.09104,-0.00695,0.03534,100,100,100
5000,0.75,B,nonstationary,-0.02987,0.10769,-0.00569,0.0437,100,100,100
200,0.25,A,figure1,-0.05439,0.20983,0.0274,0.12614,100,100,100
200,0.25,B,figure1,-0.14976,0.24766,-0.00231,0.16337,100,100,100
200,0.5,A,figure1,-0.19623,0.31268,0.01655,0.15182,100,100,100
200,0.5,B,figure1,-0.27658,0.3578,0.00803,0.18468,100,100,100
200,0.75,A,figure1,-0.50231,0.53916,0.03143,0.15503,100,100,100
200,0.75,B,figure1,-0.46182,0.50192,0.06942,0.17637,100,100,100
400,0.25,A,figure1,-0.01562,0.15006,0.01016,0.09111,100,100,100
400,0.25,B,figure1,-0.05802,0.18495,-0.01117,0.11864,100,100,100
400,0.5,A,figure1,-0.08133,0.23877,0.02141,0.10602,100,100,100
400,0.5,B,figure1,-0.1667,0.29422,0.01308,0.13464,100,100,100
400,0.75,A,figure1,-0.3168,0.3724,0.00109,0.13241,100,100,100
400,0.75,B,figure1,-0.37252,0.42589,-0.00331,0.16987,100,100,100
600,0.25,A,figure1,-0.02042,0.12091,0.00644,0.07441,100,100,100
600,0.25,B,figure1,-0.07053,0.14553,-0.00882,0.09551,100,100,100
600,0.5,A,figure1,-0.06223,0.18596,0.00819,0.08484,100,100,100
600,0.5,B,figure1,-0.06766,0.23122,0.02055,0.10435,100,100,100
600,0.75,A,figure1,-0.22172,0.31249,-0.00712,0.10851,100,100,100
600,0.75,B,figure1,-0.29107,0.35966,0.00527,0.13324,100,100,100
800,0.25,A,figure1,-0.00101,0.1037,0.00854,0.06306,100,100,100
800,0.25,B,figure1,-0.02988,0.12691,0.00207,0.07964,100,100,100
800,0.5,A,figure1,-0.04822,0.16104,0.00535,0.07475,100,100,100
800,0.5,B,figure1,-0.06987,0.20057,-0.0034,0.09503,100,100,100
800,0.75,A,figure1,-0.15194,0.27683,-0.01016,0.09151,100,100,100
800,0.75,B,figure1,-0.15121,0.32416,0.01419,0.11279,100,100,100
1000,0.25,A,figure1,-0.01871,0.09142,-0.00448,0.05693,100,100,100
1000,0.25,B,figure1,-0.01906,0.11291,0.00701,0.07086,100,100,100
1000,0.5,A,figure1,-0.04866,0.14562,-0.00052,0.06699,100,100,100
1000,0.5,B,figure1,-0.07084,0.18046,0.00985,0.08453,100,100,100
1000,0.75,A,figure1,-0.1142,0.25072,-0.02435,0.08785,100,100,100
1000,0.75,B,figure1,-0.183,0.29525,0.01304,0.0978,100,100,100
1200,0.25,A,figure1,-0.02028,0.08233,0.00508,0.05178,100,100,100
1200,0.25,B,figure1,-0.00864,0.10561,0.00232,0.06578,100,100,100
1200,0.5,A,figure1,-0.04316,0.13176,-0.00095,0.06058,100,100,100
1200,0.5,B,figure1,-0.05972,0.16093,-0.00341,0.07772,100,100,100
1200,0.75,A,figure1,-0.10304,0.2285,-0.01747,0.07816,100,100,100
1200,0.75,B,figure1,-0.20079,0.27083,-0.01024,0.09261,100,100,100
1500,0.25,A,figure1,-0.02424,0.07379,-0.00205,0.04693,100,100,100
1500,0.25,B,figure1,-0.01633,0.09528,0.00238,0.05864,100,100,100
1500,0.5,A,figure1,-0.02955,0.12126,0.00149,0.05468,100,100,100
1500,0.5,B,figure1,-0.03612,0.14931,-0.00095,0.06966,100,100,100
1500,0.75,A,figure1,-0.1003,0.21113,-0.01502,0.06801,100,100,100
1500,0.75,B,figure1,-0.11142,0.23582,-0.00643,0.08596,100,100,100
2000,0.25,A,figure1,-0.00409,0.06443,-0.00527,0.0397,100,100,100
2000,0.25,B,figure1,-0.01136,0.08038,-0.00198,0.05026,100,100,100
2000,0.5,A,figure1,-0.02193,0.10359,0.00167,0.04696,100,100,100
2000,0.5,B,figure1,-0.04148,0.12578,-0.00791,0.05991,100,100,100
2000,0.75,A,figure1,-0.09417,0.17992,-0.00528,0.05882,100,100,100
2000,0.75,B,figure1,-0.07506,0.20788,-0.00368,0.07141,100,100,100
2500,0.25,A,figure1,0.00042,0.0581,0.00265,0.03591,100,100,100
2500,0.25,B,figure1,-0.01538,0.07248,0.00086,0.04559,100,100,100
2500,0.5,A,figure1,-0.02673,0.09066,-0.0031,0.04273,100,100,100
2500,0.5,B,figure1,-0.03131,0.11535,0.00201,0.05255,100,100,100
2500,0.75,A,figure1,-0.02532,0.16849,0.00044,0.04964,100,100,100
2500,0.75,B,figure1,-0.04345,0.19835,0.00556,0.06119,100,100,100
