N,rho,selection,expt,AB_bias,AB_se,SYS_bias,SYS_se,AB_reps,SYS_reps,total_reps
500,0.25,A,no_endogenous,-0.03225,0.14983,-0.00187,0.08488,500,500,500
500,0.25,B,no_endogenous,-0.06636,0.19366,0.00784,0.10781,500,500,500
500,0.5,A,no_endogenous,-0.10681,0.25326,0.00604,0.09858,500,500,500
500,0.5,B,no_endogenous,-0.16577,0.32313,0.02097,0.12306,500,500,500
500,0.75,A,no_endogenous,-0.52065,0.45428,0.00986,0.12041,500,500,500
500,0.75,B,no_endogenous,-0.58981,0.50804,0.00999,0.15025,500,500,500
5000,0.25,A,no_endogenous,-0.00457,0.04646,-0.00082,0.02607,500,500,500
5000,0.25,B,no_endogenous,-0.00599,0.0613,0.00185,0.03292,500,500,500
5000,0.5,A,no_endogenous,-0.01334,0.08085,0.00021,0.03063,500,500,500
5000,0.5,B,no_endogenous,-0.02619,0.10651,-0.00099,0.03865,500,500,500
5000,0.75,A,no_endogenous,-0.08383,0.19295,0.00177,0.03541,500,500,500
5000,0.75,B,no_endogenous,-0.14956,0.25418,-0.00029,0.04492,500,500,500
500,0.25,A,baseline,-0.02857,0.13001,0.00275,0.08063,500,500,500
500,0.25,B,baseline,-0.03322,0.16434,0.01375,0.1031,500,500,500
500,0.5,A,baseline,-0.07624,0.20518,0.0059,0.09525,500,500,500
500,0.5,B,baseline,-0.10504,0.25801,0.00906,0.11882,500,500,500
500,0.75,A,baseline,-0.26418,0.35009,0.00679,0.11717,500,500,500
500,0.75,B,baseline,-0.32357,0.39812,0.00604,0.13992,500,500,500
5000,0.25,A,baseline,0.0009,0.0408,0.00049,0.0251,500,500,500
5000,0.25,B,baseline,-0.00793,0.05068,-0.00204,0.03157,500,500,500
5000,0.5,A,baseline,-0.01067,0.06512,-0.00171,0.02977,500,500,500
5000,0.5,B,baseline,-0.00876,0.08076,-0.00333,0.03728,500,500,500
5000,0.75,A,baseline,-0.025,0.11666,-0.0086,0.03625,500,500,500
5000,0.75,B,baseline,-0.03423,0.13451,-0.00767,0.04575,500,500,500
500,0.25,A,short_T,,,,,0,0,500
500,0.25,B,short_T,,,,,0,0,500
500,0.5,A,short_T,,,,,0,0,500
500,0.5,B,short_T,,,,,0,0,500
500,0.75,A,short_T,,,,,0,0,500
500,0.75,B,short_T,,,,,0,0,500
5000,0.25,A,short_T,,,,,0,0,500
5000,0.25,B,short_T,,,,,0,0,500
5000,0.5,A,short_T,,,,,0,0,500
5000,0.5,B,short_T,,,,,0,0,500
5000,0.75,A,short_T,,,,,0,0,500
5000,0.75,B,short_T,,,,,0,0,500
500,0.25,A,more_selection,-0.03356,0.15247,0.00648,0.09574,500,500,500
500,0.25,B,more_selection,-0.06428,0.19479,0.00608,0.12548,500,500,500
500,0.5,A,more_selection,-0.10625,0.24112,0.00071,0.11279,500,500,500
500,0.5,B,more_selection,-0.17918,0.28853,0.01279,0.14506,500,500,500
500,0.75,A,more_selection,-0.33517,0.38035,0.00916,0.13718,500,500,500
500,0.75,B,more_selection,-0.3858,0.4145,0.02336,0.15724,500,500,500
5000,0.25,A,more_selection,-0.00549,0.04783,0.00021,0.02968,500,500,500
5000,0.25,B,more_selection,-0.00597,0.06189,0.0038,0.03869,500,500,500
5000,0.5,A,more_selection,-0.01195,0.07609,-0.00317,0.03493,500,500,500
5000,0.5,B,more_selection,-0.00959,0.09743,0.00142,0.0456,500,500,500
5000,0.75,A,more_selection,-0.04203,0.12905,-0.01212,0.04348,500,500,500
5000,0.75,B,more_selection,-0.05877,0.15813,-0.00446,0.0552,500,500,500
500,0.25,A,high_alpha_ratio,-0.0434,0.15176,0.02183,0.10131,500,500,500
500,0.25,B,high_alpha_ratio,-0.0597,0.19353,0.03117,0.127,500,500,500
500,0.5,A,high_alpha_ratio,-0.10638,0.24698,0.03172,0.11863,500,500,500
500,0.5,B,high_alpha_ratio,-0.18003,0.31037,0.06061,0.144,500,500,500
500,0.75,A,high_alpha_ratio,-0.38534,0.41568,0.07728,0.11944,500,500,500
500,0.75,B,high_alpha_ratio,-0.45283,0.45443,0.0981,0.14088,500,500,500
5000,0.25,A,high_alpha_ratio,-0.00786,0.04803,0.00034,0.03102,500,500,500
5000,0.25,B,high_alpha_ratio,-0.00249,0.06199,0.00409,0.03955,500,500,500
5000,0.5,A,high_alpha_ratio,-0.01096,0.08164,0.0016,0.03915,500,500,500
5000,0.5,B,high_alpha_ratio,-0.01869,0.10432,0.00428,0.04972,500,500,500
5000,0.75,A,high_alpha_ratio,-0.04501,0.15258,-0.00046,0.04992,500,500,500
5000,0.75,B,high_alpha_ratio,-0.07483,0.17792,-0.0067,0.06458,500,500,500
500,0.25,A,low_corr,-0.02236,0.14099,0.00938,0.08276,500,500,500
500,0.25,B,low_corr,-0.05402,0.17943,0.00987,0.10592,500,500,500
500,0.5,A,low_corr,-0.08274,0.23428,0.00864,0.09682,500,500,500
500,0.5,B,low_corr,-0.1536,0.29005,0.01756,0.12095,500,500,500
500,0.75,A,low_corr,-0.3696,0.39924,0.00422,0.11656,500,500,500
500,0.75,B,low_corr,-0.42472,0.45247,0.01876,0.14165,500,500,500
5000,0.25,A,low_corr,-0.00352,0.04377,-0.00048,0.02573,500,500,500
5000,0.25,B,low_corr,-0.01011,0.05637,-0.00164,0.03255,500,500,500
5000,0.5,A,low_corr,-0.01521,0.07374,0.00078,0.03019,500,500,500
5000,0.5,B,low_corr,-0.01558,0.09305,0.00133,0.03812,500,500,500
5000,0.75,A,low_corr,-0.04824,0.14502,0.00014,0.03578,500,500,500
5000,0.75,B,low_corr,-0.05533,0.17896,-0.00368,0.0451,500,500,500
500,0.25,A,nonstationary,-0.03088,0.12074,-0.00011,0.0822,500,500,500
500,0.25,B,nonstationary,-0.03046,0.1511,0.00958,0.10384,500,500,500
500,0.5,A,nonstationary,-0.04619,0.18475,0.00658,0.09448,500,500,500
500,0.5,B,nonstationary,-0.08607,0.21605,0.00138,0.11915,500,500,500
500,0.75,A,nonstationary,-0.19491,0.28281,-0.01462,0.1158,500,500,500
500,0.75,B,nonstationary,-0.23616,0.33872,-0.00342,0.13983,500,500,500
5000,0.25,A,nonstationary,-0.00305,0.03741,-0.00053,0.02554,500,500,500
5000,0.25,B,nonstationary,-0.00291,0.04654,-0.00047,0.03206,500,500,500
5000,0.5,A,nonstationary,-0.00328,0.05586,-0.00282,0.02956,500,500,500
5000,0.5,B,nonstationary,-0.00322,0.06801,0.00055,0.03691,500,500,500
5000,0.75,A,nonstationary,-0.01689,0.09111,-0.00419,0.03504,500,500,500
5000,0.75,B,nonstationary,-0.02045,0.10811,-0.00266,0.04392,500,500,500
200,0.25,A,figure1,-0.0564,0.2059,0.01243,0.1274,500,500,500
200,0.25,B,figure1,-0.11496,0.25481,0.00876,0.16401,500,500,500
200,0.5,A,figure1,-0.1779,0.31853,0.02836,0.14976,500,500,500
200,0.5,B,figure1,-0.27308,0.35772,0.03203,0.18282,500,500,500
200,0.75,A,figure1,-0.49308,0.48911,0.04194,0.15907,500,500,500
200,0.75,B,figure1,-0.49602,0.48516,0.05148,0.19488,500,500,500
400,0.25,A,figure1,-0.04108,0.14507,0.00185,0.0914,500,500,500
400,0.25,B,figure1,-0.05385,0.18501,0.00732,0.11679,500,500,500
400,0.5,A,figure1,-0.09397,0.22698,0.00265,0.10718,500,500,500
400,0.5,B,figure1,-0.13954,0.28338,0.01262,0.13624,500,500,500
400,0.75,A,figure1,-0.32681,0.36533,0.00646,0.12999,500,500,500
400,0.75,B,figure1,-0.33858,0.40709,0.02089,0.1547,500,500,500
600,0.25,A,figure1,-0.0102,0.12055,0.01018,0.07367,500,500,500
600,0.25,B,figure1,-0.04746,0.14919,-0.00475,0.09344,500,500,500
600,0.5,A,figure1,-0.06658,0.18824,-0.00175,0.08717,500,500,500
600,0.5,B,figure1,-0.10023,0.23334,-0.00452,0.10987,500,500,500
600,0.75,A,figure1,-0.24392,0.33625,0.00896,0.10278,500,500,500
600,0.75,B,figure1,-0.31761,0.36222,0.00596,0.12885,500,500,500
800,0.25,A,figure1,-0.01595,0.1023,0.00145,0.06369,500,500,500
800,0.25,B,figure1,-0.03721,0.12761,0.0005,0.08107,500,500,500
800,0.5,A,figure1,-0.03815,0.16734,0.00664,0.07403,500,500,500
800,0.5,B,figure1,-0.0884,0.20143,-0.00214,0.09535,500,500,500
800,0.75,A,figure1,-0.16907,0.28418,-0.00809,0.0939,500,500,500
800,0.75,B,figure1,-0.22734,0.33026,0.00138,0.11243,500,500,500
1000,0.25,A,figure1,-0.01918,0.09067,-0.00194,0.05688,500,500,500
1000,0.25,B,figure1,-0.01924,0.11465,0.00731,0.07179,500,500,500
1000,0.5,A,figure1,-0.04051,0.14543,-0.0005,0.06712,500,500,500
1000,0.5,B,figure1,-0.06706,0.17785,-0.00486,0.08491,500,500,500
1000,0.75,A,figure1,-0.13355,0.25878,-0.0063,0.08324,500,500,500
1000,0.75,B,figure1,-0.18318,0.30023,0.00155,0.10134,500,500,500
1200,0.25,A,figure1,-0.01526,0.08387,0.00112,0.05206,500,500,500
1200,0.25,B,figure1,-0.01039,0.10554,0.00429,0.06528,500,500,500
1200,0.5,A,figure1,-0.03662,0.13286,0.00018,0.0611,500,500,500
1200,0.5,B,figure1,-0.0572,0.16642,-0.00582,0.07737,500,500,500
1200,0.75,A,figure1,-0.13528,0.23868,-0.00509,0.07565,500,500,500
1200,0.75,B,figure1,-0.15246,0.27076,-0.00153,0.09166,500,500,500
1400,0.25,A,figure1,-0.0063,0.07717,0.00341,0.04785,500,500,500
1400,0.25,B,figure1,-0.01779,0.09595,0.00182,0.0603,500,500,500
1400,0.5,A,figure1,-0.02275,0.12512,0.00204,0.05625,500,500,500
1400,0.5,B,figure1,-0.05079,0.15307,-0.00096,0.07116,500,500,500
1400,0.75,A,figure1,-0.08661,0.21641,-0.00519,0.06937,500,500,500
1400,0.75,B,figure1,-0.14699,0.24964,-0.00614,0.08707,500,500,500
1600,0.25,A,figure1,-0.00927,0.07242,0.00058,0.04481,500,500,500
1600,0.25,B,figure1,-0.01167,0.09079,0.00506,0.05635,500,500,500
1600,0.5,A,figure1,-0.02191,0.11554,0.00201,0.05267,500,500,500
1600,0.5,B,figure1,-0.04766,0.14208,-0.00125,0.06665,500,500,500
1600,0.75,A,figure1,-0.08308,0.20492,-0.00256,0.06493,500,500,500
1600,0.75,B,figure1,-0.1122,0.2346,-0.00135,0.08052,500,500,500
1800,0.25,A,figure1,-0.01286,0.06805,0.00034,0.04237,500,500,500
1800,0.25,B,figure1,-0.01311,0.08496,0.00404,0.05328,500,500,500
1800,0.5,A,figure1,-0.02803,0.10808,-0.00199,0.04992,500,500,500
1800,0.5,B,figure1,-0.03016,0.13531,-0.00296,0.0622,500,500,500
1800,0.75,A,figure1,-0.06828,0.19128,-0.00327,0.06005,500,500,500
1800,0.75,B,figure1,-0.08576,0.22109,-4e-05,0.07548,500,500,500
2000,0.25,A,figure1,-0.00504,0.06476,0.00502,0.03985,500,500,500
