N,rho,selection,expt,AB_bias,AB_se,SYS_bias,SYS_se,AB_reps,SYS_reps,total_reps
500,0.25,A,no_endogenous,-0.03174,0.148,0.00273,0.08441,500,500,500
500,0.25,B,no_endogenous,-0.06251,0.19319,0.01236,0.10703,500,500,500
500,0.5,A,no_endogenous,-0.11109,0.24921,0.00218,0.0994,500,500,500
500,0.5,B,no_endogenous,-0.19369,0.31163,0.01192,0.12501,500,500,500
500,0.75,A,no_endogenous,-0.46803,0.47849,0.01094,0.11759,500,500,500
500,0.75,B,no_endogenous,-0.57856,0.49992,0.02252,0.14434,500,500,500
5000,0.25,A,no_endogenous,-0.00197,0.04663,0.00159,0.02597,500,500,500
5000,0.25,B,no_endogenous,-0.00297,0.06141,0.00264,0.03286,500,500,500
5000,0.5,A,no_endogenous,-0.01175,0.08081,0.00141,0.03043,500,500,500
5000,0.5,B,no_endogenous,-0.0176,0.10758,0.00253,0.03837,500,500,500
5000,0.75,A,no_endogenous,-0.08259,0.19389,0.00075,0.0356,500,500,500
5000,0.75,B,no_endogenous,-0.13443,0.25358,0.00203,0.04484,500,500,500
500,0.25,A,baseline,-0.02479,0.13034,0.00671,0.08115,500,500,500
500,0.25,B,baseline,-0.04907,0.16397,0.01169,0.10325,500,500,500
500,0.5,A,baseline,-0.07111,0.20612,0.00471,0.09486,500,500,500
500,0.5,B,baseline,-0.12629,0.25041,0.01044,0.12008,500,500,500
500,0.75,A,baseline,-0.24922,0.34505,0.0059,0.11366,500,500,500
500,0.75,B,baseline,-0.32939,0.37853,0.01862,0.13892,500,500,500
5000,0.25,A,baseline,-0.00178,0.04061,0.00062,0.02505,500,500,500
5000,0.25,B,baseline,-0.00139,0.05098,0.00256,0.03152,500,500,500
5000,0.5,A,baseline,-0.00809,0.06492,-0.00133,0.02957,500,500,500
5000,0.5,B,baseline,-0.00868,0.08071,0.00067,0.03711,500,500,500
5000,0.75,A,baseline,-0.03055,0.11506,-0.00763,0.03608,500,500,500
5000,0.75,B,baseline,-0.03472,0.13509,-0.00549,0.04509,500,500,500
500,0.25,A,short_T,-0.01354,0.12274,0.00434,0.0751,500,500,500
